고유값,과정명,훈련기관,회차,과정시작일,과정종료일,수강신청 인원,수료인원,수료율
AIG2024000045943421,[KG그룹] 청년 이차전지 미래기술 아카데미,대한상공회의소,21,2026-04-14,2026-07-02,30,47,156.66666666666666
AIG202500005014475,[HDC Labs]생성형 AI 활용 스마트 Io,현대경제연구원 인재개발원,5,2026-01-26,2026-07-24,11,17,154.54545454545453
AIG202400005012386,[KBS미디어] AI 활용 실감형 미디어 콘텐츠,케이비에스미디어주식회사,6,2025-12-23,2026-07-21,19,29,152.63157894736844
AIG202500005013415,반도체 공정/설비 데이터 분석 전문가 양성과정,렛유인에듀이공계핵심인재양성평생,5,2026-03-31,2026-07-10,29,44,151.72413793103448
AIG202400004591113,현대오토에버 웹&앱 개발 스쿨,한국전파진흥협회,3,2025-12-18,2026-06-29,18,27,150.0
AIG202500005014842,AI융합 로봇 SW 개발자,대한상공회의소 서울기술교육센터,2,2025-12-23,2026-07-21,29,43,148.27586206896552
AIG2024000049810812,생성형 AI를 활용한 영상 웹퍼블리셔&프론트엔드,엠비씨(MBC)아카데미 컴퓨터,12,2026-02-09,2026-07-27,15,22,146.66666666666666
AIG202500005014453,[에스트래픽] 스마트 모빌리티 DX Academ,한국지능형교통체계협회,3,2025-12-29,2026-07-02,13,19,146.15384615384613
AIG202500005013525,"인공지능(AI),빅데이터 활용 웹솔루션 개발자 ",휴먼AI교육센터_내일배움카드교,5,2026-01-26,2026-07-23,14,20,142.85714285714286
AIG202400004593689,재직자_INNER CIRCLE : 기획/디자인 ,패스트캠퍼스강남학원,9,2026-03-30,2026-07-18,19,27,142.10526315789474
AIG202500005017571,[SK AX] 클라우드 네이티브 애플리케이션 개,대한상공회의소,1,2025-12-29,2026-06-25,34,48,141.1764705882353
AIG202400004982094,IaC 기반 하이브리드 클라우드 인프라 및 보안,메가스터디아이티(IT)아카데미,4,2025-12-29,2026-06-25,15,21,140.0
AIG202500005016407,AI 심화 캠프,패스트캠퍼스강남학원,7,2026-05-26,2026-07-29,15,21,140.0
AIG202400004980733,빅데이터분석(ElasticStack)활용&자바웹,더조은컴퓨터아카데미 종로,3,2025-12-29,2026-07-17,11,15,136.36363636363635
AIG202400005012043,[BNK부산은행]금융DT 아카데미(생성형AI활용,한국표준협회,3,2025-12-29,2026-07-03,14,19,135.71428571428572
AIG202400004593749,언어지능기반 분석서비스 개발자과정,스마트인재개발원,9,2025-12-31,2026-07-16,17,23,135.29411764705884
AIG202400004982894,재직자_제조업 기반 CDS 전문가 과정,팀스파르타주식회사,4,2026-03-16,2026-07-07,17,23,135.29411764705884
AIG2023000041274010,[인공지능]AIoT를 이용한 빅데이터 분석 산업,(주)삼성에이엑스아이,10,2025-12-02,2026-06-29,15,20,133.33333333333331
AIG2023000045578431,[KG ICT] 청년 AI 로보틱스,대한상공회의소,31,2025-12-30,2026-06-29,21,28,133.33333333333331
AIG202500005014563,[대보정보통신] AI-X 스마트 교통 및 인프라,한국지능형교통체계협회,3,2025-12-31,2026-07-03,21,26,123.80952380952381
AIG202500005431252,CGT 공정개발,사단법인 충북바이오산학융합원,2,2026-03-23,2026-07-27,14,17,121.42857142857142
AIG2024000049824812,심화_심층 데이터 분석을 통한 서비스 솔루션 개,휴먼AI교육센터_국비지원교육,12,2026-05-26,2026-07-30,19,23,121.05263157894737
AIG202300004555888, 클라우드 기반 빅데이터 융합 자바(JAVA) ,오라클자바교육학원,8,2025-12-15,2026-07-16,20,24,120.0
AIG202500005015293,AI기반 멀티미디어콘텐츠 영상편집 크리에이터 마,(주)이젠컴퓨터아카데미안산,3,2025-12-30,2026-07-15,12,14,116.66666666666667
AIG202300004557285,[신한투자증권] 프로디지털아카데미,한국표준협회,5,2025-12-29,2026-07-02,23,26,113.04347826086956
AIG202500005017542,ROS2를 활용한 AI 로보틱스,대구가톨릭대학교 인재개발교육원,2,2025-12-31,2026-06-29,17,19,111.76470588235294
AIG202500005017243,클라우드 네이티브 풀스택 & DevOps 개발자,KH정보교육원 부산지원,3,2025-12-18,2026-07-02,22,24,109.09090909090908
AIG202500005013922,융합_로보테크 AI 자율주행 로봇 개발자 과정,미래융합교육원,2,2025-12-30,2026-07-16,22,24,109.09090909090908
AIG202400004592424,자바(JAVA) 웹개발자 양성과정(클라우드),에이콘아카데미 홍대학원,4,2026-01-22,2026-07-27,22,24,109.09090909090908
AIG202500005014274,"기업요구 Vue, Spring & Cloud 활",(주)예담직업전문학교,4,2025-12-30,2026-07-15,13,14,107.6923076923077
AIG2024000045906614,심화_생성형 AI활용 인재양성과정 (조별멘토),하이미디어아카데미,14,2026-05-15,2026-07-14,16,17,106.25
AIG2024000050119115,[포스코] 청년 AIㆍBigdata 아카데미,대한상공회의소,15,2026-05-11,2026-07-16,17,18,105.88235294117648
