훈련과정 ID,회차
AIG20210000328823,1
AIG20210000328805,1
AIG20210000328759,1
AIG20210000328860,3
AIG20210000328860,2
AIG20210000328839,2
AIG20210000328835,1
AIG20210000328868,1
AIG20210000328828,1
AIG20210000328686,1
AIG20210000328840,1
AIG20210000328872,1
AIG20210000328610,1
AIG20210000328847,1
AIG20210000328593,1
AIG20210000328834,1
AIG20210000328827,1
AIG20210000328865,1
AIG20210000328865,2
AIG20210000313691,3
AIG20210000313685,2
AIG20210000328557,2
AIG20210000328802,1
AIG20210000328553,1
AIG20210000313657,2
AIG20210000313580,2
AIG20200000286660,8
AIG20200000286648,8
AIG20210000313571,1
AIG20210000328873,2
AIG20210000328860,5
AIG20210000328860,4
AIG20210000328856,1
AIG20210000313661,2
AIG20200000313010,9
AIG20200000313010,10
AIG20210000314466,9
AIG20210000314466,10
AIG20210000328542,2
AIG20200000286602,7
AIG20200000286525,5
AIG20210000313677,2
AIG20210000328870,2
AIG20210000328870,1
AIG20210000328572,2
AIG20210000328571,2
AIG20200000286642,2
AIG20210000328760,1
AIG20210000328867,1
AIG20210000328737,1
AIG20210000328592,1
AIG20210000328590,1
AIG20210000314428,3
AIG20210000313612,2
AIG20200000286668,5
AIG20200000286660,9
AIG20210000313585,2
AIG20210000328777,1
AIG20200000286656,4
AIG20200000288889,5
AIG20200000288889,4
AIG20210000313674,2
AIG20200000286651,4
AIG20210000328548,2
AIG20200000286592,5
AIG20210000328599,1
AIG20210000314468,8
AIG20210000314468,7
AIG20200000286611,5
AIG20210000313685,3
AIG20210000365837,1
AIG20210000328971,1
AIG20210000328971,2
AIG20210000350106,1
AIG20210000329031,6
AIG20210000329031,2
AIG20210000329031,5
AIG20210000329031,1
AIG20210000329031,4
AIG20210000329031,3
AIG20210000329030,8
AIG20210000329030,5
AIG20210000329030,2
AIG20210000329030,7
AIG20210000329030,3
AIG20210000329030,9
AIG20210000329030,6
AIG20210000329030,4
AIG20210000329030,1
AIG20210000328593,2
AIG20210000328731,2
AIG20210000314466,11
AIG20210000314466,12
AIG20200000286689,5
AIG20200000286666,5
AIG20200000286668,6
AIG20200000286648,9
AIG20210000314411,5
AIG20210000313656,1
AIG20210000313654,1
AIG20200000286692,5
AIG20210000328860,8
AIG20210000328860,7
AIG20210000328860,6
AIG20200000286622,2
AIG20210000328598,1
AIG20210000328922,1
AIG20210000314472,13
AIG20210000314472,9
AIG20210000314472,14
AIG20210000314472,7
AIG20210000314472,15
AIG20210000314472,12
AIG20210000314472,8
AIG20210000314454,2
AIG20210000314433,2
AIG20210000328834,2
AIG20210000328738,1
AIG20210000313657,3
AIG20210000313652,2
AIG20210000313678,3
AIG20210000328992,1
AIG20210000328992,3
AIG20210000328992,2
AIG20210000328557,3
AIG20210000314472,10
AIG20210000313612,3
AIG20210000313598,1
AIG20210000313571,2
AIG20200000286696,2
AIG20200000286680,4
AIG20200000286662,4
AIG20210000313564,2
AIG20210000314428,4
AIG20210000328939,1
AIG20210000313580,3
AIG20200000286644,5
AIG20210000313677,3
AIG20210000328873,3
AIG20210000328839,3
AIG20210000328839,4
AIG20210000328971,4
AIG20200000286600,5
AIG20200000286603,3
AIG20210000314411,6
AIG20200000286598,4
AIG20200000288888,3
AIG20200000286597,3
AIG20200000286600,4
AIG20210000328971,3
AIG20210000328913,1
AIG20210000328914,1
AIG20200000286648,10
AIG20200000286660,10
AIG20200000286594,2
AIG20200000286668,7
AIG20210000314413,4
AIG20200000288895,8
AIG20210000328610,2
AIG20210000328918,1
AIG20200000288895,7
AIG20210000328927,1
AIG20200000313528,23
AIG20200000313528,27
AIG20200000313528,29
AIG20210000328572,3
AIG20200000286598,5
AIG20200000313528,22
AIG20200000313528,26
AIG20200000286600,6
AIG20200000286603,4
AIG20200000313528,24
AIG20200000313528,28
AIG20200000313528,30
AIG20210000328552,1
AIG20210000328571,3
AIG20200000313528,21
AIG20200000313528,25
AIG20210000328590,2
AIG20200000313010,11
AIG20210000328661,1
AIG20210000329033,9
AIG20210000329033,13
AIG20210000329033,17
AIG20210000329033,21
AIG20200000313010,12
AIG20210000314412,3
AIG20210000329033,2
AIG20210000329033,6
AIG20210000329033,10
AIG20210000329033,14
AIG20210000329033,18
AIG20210000329033,22
AIG20210000329033,1
AIG20210000329033,3
AIG20210000329033,5
AIG20210000329033,7
AIG20210000329033,11
AIG20210000329033,15
AIG20210000329033,19
AIG20210000329033,23
AIG20210000329033,4
AIG20210000329033,8
AIG20210000329033,12
AIG20210000329033,16
AIG20210000329033,20
AIG20210000329033,24
AIG20200000286683,2
AIG20210000313603,3
AIG20200000286597,4
AIG20200000286602,8
AIG20200000286610,2
AIG20210000314424,3
AIG20210000328612,3
AIG20210000328971,5
AIG20200000286598,6
AIG20210000314443,2
AIG20210000328550,3
AIG20210000328801,1
AIG20210000328731,3
AIG20210000313585,3
AIG20200000286675,6
AIG20200000286648,11
AIG20200000286545,3
AIG20210000328926,1
AIG20210000328983,1
AIG20210000328924,1
AIG20200000286545,4
AIG20210000328555,2
AIG20200000313559,2
AIG20200000286570,4
AIG20210000329027,3
AIG20210000329027,1
AIG20200000288890,3
AIG20210000328771,1
AIG20210000328964,1
AIG20210000329027,2
AIG20200000286602,9
AIG20200000286660,11
AIG20200000286660,12
AIG20200000286592,6
AIG20210000328593,3
AIG20210000313678,4
AIG20210000328565,2
AIG20210000314423,2
AIG20210000328549,2
AIG20210000328737,2
AIG20210000328565,3
AIG20210000328968,1
AIG20200000286658,3
AIG20200000286531,4
AIG20200000286644,6
AIG20200000286647,4
AIG20200000286689,6
AIG20200000286666,6
AIG20210000314440,3
AIG20210000328731,4
AIG20200000286678,3
AIG20210000314425,3
AIG20210000328557,4
AIG20200000286626,5
AIG20200000286562,3
AIG20210000313613,2
AIG20210000314417,2
AIG20210000328686,2
AIG20210000314428,5
AIG20210000314466,14
AIG20210000314468,10
AIG20210000314468,9
AIG20210000328928,1
AIG20210000365837,2
AIG20210000314466,13
AIG20210000328598,2
AIG20210000328592,2
AIG20210000314421,2
AIG20200000286660,13
AIG20200000286668,8
AIG20210000314457,2
AIG20210000328555,3
AIG20210000328571,4
AIG20200000286649,2
AIG20200000286675,7
AIG20200000288892,14
AIG20210000314413,5
AIG20210000328971,6
AIG20210000314411,7
AIG20210000328907,1
AIG20210000314412,4
AIG20210000328805,2
AIG20210000314479,3
AIG20210000314480,4
AIG20210000314479,4
AIG20210000314480,3
AIG20210000314424,4
AIG20210000314430,2
AIG20200000286672,3
AIG20210000328572,4
AIG20210000314436,2
AIG20210000328548,3
AIG20210000313622,2
AIG20200000286611,6
AIG20200000313010,13
AIG20210000313688,2
AIG20200000286602,10
AIG20210000328737,3
AIG20210000314411,8
AIG20210000313687,2
AIG20210000328542,3
AIG20210000328865,3
AIG20210000320474,3
AIG20210000320882,3
AIG20210000320939,3
AIG20210000328593,4
AIG20210000320927,3
AIG20200000286680,5
AIG20200000286662,5
AIG20200000313547,14
AIG20210000328868,3
AIG20200000313547,15
AIG20220000366880,1
AIG20210000328868,2
AIG20200000286525,6
AIG20200000313547,16
AIG20210000328538,2
AIG20200000286644,7
AIG20200000286670,3
AIG20200000313409,3
AIG20210000314472,16
AIG20210000328870,4
AIG20210000328870,3
AIG20210000328868,4
AIG20210000313652,3
AIG20200000286532,2
AIG20200000286638,2
AIG20200000286640,2
AIG20210000328983,2
AIG20210000328553,2
AIG20210000350106,2
AIG20210000313585,4
AIG20220000366682,1
AIG20210000328564,3
AIG20200000286592,7
AIG20210000328805,3
AIG20210000328839,5
AIG20210000328873,4
AIG20210000313610,3
