AIG202400004982261,e-commerce 기업 연계형 풀스택 자바(Java) 웹 솔루션 개발 과정,AIG20240000498226,1,중앙HTA IT교육원,135,1080,2024-11-25,2025-06-23,응용SW엔지니어링,20010202," 10,252,440 ",20,8,0,0%,0,서울 종로구,서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20240000498226&tracseTme=1&trainstCstmrId=500020020284&crseTracseSe=C0061,,, - ," 65,615,616 "," 82,019,520 ", -   , - , - ," 11,506,056 "," 54,109,560 "
AIG202100003288275,"빅데이터 기반 AI(인공지능)서비스(추천,트레이딩) 개발자 취업캠프",AIG20210000328827,5,더조은컴퓨터아카데미,135,1080,2024-11-25,2025-06-12,응용SW엔지니어링,20010202," 9,249,120 ",20,14,0,0%,92.9,서울 강남구,서울특별시 강남구 강남대로78길 8 (역삼동),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20210000328827&tracseTme=5&trainstCstmrId=500020028586&crseTracseSe=C0061,,, - ," 103,590,144 "," 129,487,680 ", -   , - , - ," 19,164,177 "," 84,425,967 "
AIG202400004591051,[메가존]기업주도형  클라우드 네이티브 JAVA 개발자 양성과정,AIG20240000459105,1,재단법인 국제인재능력개발원,130,1040,2024-11-26,2025-06-19,응용SW엔지니어링,20010202," 9,872,720 ",20,5,0,0%,0,서울 강남구,서울특별시 강남구 역삼동 강남대로66길 14(강남역 와이즈 플레이스),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20240000459105&tracseTme=1&trainstCstmrId=500020046780&crseTracseSe=C0061,,, - ," 39,490,880 "," 49,363,600 ", -   , - , - ," 6,901,319 "," 32,589,561 "
AIG202300004128329,에듀테크 상품서비스 PM(프로덕트매니저) 양성,AIG20230000412832,9,(주)천재교육,121,960,2024-11-27,2025-06-09,SW제품기획,20010104," 17,424,000 ",20,7,0,0%,74.9,서울 금천구,서울특별시 금천구 가산로9길 54,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20230000412832&tracseTme=9&trainstCstmrId=500037189659&crseTracseSe=C0061,(주)천재교육,(주)천재교육, - ," 97,574,400 "," 121,968,000 ", -   , - , - ," 17,513,354 "," 80,061,046 "
AIG202300004128198,"클라우드 기반의 자바 풀스택 (Springboot, React, flutter) 개발자",AIG20230000412819,8,하이미디어아카데미,120,960,2024-11-27,2025-05-23,응용SW엔지니어링,20010202," 9,097,920 ",20,13,0,0%,95.4,서울 서초구,서울특별시 서초구 강남대로 405 (서초동 통영빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20230000412819&tracseTme=8&trainstCstmrId=500020056026&crseTracseSe=C0061,,, - ," 94,618,368 "," 118,272,960 ", -   , - , - ," 18,604,735 "," 76,013,633 "
AIG202300004127959,에듀테크 풀스택 개발자 양성(Java),AIG20230000412795,9,(주)천재교육,121,960,2024-11-27,2025-06-09,응용SW엔지니어링,20010202," 17,424,000 ",20,8,0,0%,74.7,서울 금천구,서울특별시 금천구 가산로9길 54,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20230000412795&tracseTme=9&trainstCstmrId=500037189659&crseTracseSe=C0061,(주)천재교육,(주)천재교육, - ," 111,513,600 "," 139,392,000 ", -   , - , - ," 20,015,262 "," 91,498,338 "
AIG202200003667257,"프로젝트기반 풀스택(프론트,백엔드) 개발자(자바,스프링,리액트) 양성",AIG20220000366725,7,성남 그린컴퓨터아카데미,146,1161,2024-11-28,2025-06-30,응용SW엔지니어링,20010202," 9,942,800 ",20,0,0,#DIV/0!,87.2,경기 성남시 분당구,경기도 성남시 분당구 구미동 돌마로 46,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20220000366725&tracseTme=7&trainstCstmrId=500020054642&crseTracseSe=C0061,,, - , - , - , -   , - , - , - , - 
AIG202400004594101,"키오스크 풀스택(프론트(React,PHP)/백엔드(Java,Spring) 개발자 양성과정,참여기업 프로젝트",AIG20240000459410,1,그린컴퓨터아카데미 신촌,125,1000,2024-11-29,2025-05-30,응용SW엔지니어링,20010202," 9,493,000 ",20,0,0,#DIV/0!,0,서울 마포구,서울특별시 마포구 신촌로 104 (노고산동),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20240000459410&tracseTme=1&trainstCstmrId=500020016713&crseTracseSe=C0061,,, - , - , - , -   , - , - , - , - 
AIG202400004981851,"융합_웹툰콘텐츠제작을 위한 AI(미드저니, ChatGPT)활용 전문인력(PD,콘티,캐릭터,배경,연출) 양성",AIG20240000498185,1,에이치아카데미 D&D교육센터,172,860,2024-11-29,2025-08-08,응용SW엔지니어링,20010202," 8,163,980 ",21,20,0,0%,0,서울 서대문구,"서울특별시 서대문구 신촌로 141(대현동, 위고인 호스텔)",https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20240000498185&tracseTme=1&trainstCstmrId=500020010894&crseTracseSe=C0061,,, - ," 130,623,680 "," 163,279,600 ", -   , - , - ," 17,037,871 "," 113,585,809 "
AIG2022000040924720,AWS 클라우드를 활용한 Full-Stack 개발자 양성과정,AIG20220000409247,20,쌍용강북교육센터,140,1120,2024-11-18,2025-06-17,응용SW엔지니어링,20010202," 9,591,680 ",22,0,0,#DIV/0!,94.7,서울 마포구,서울특별시 마포구 월드컵북로 21 (서교동),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20220000409247&tracseTme=20&trainstCstmrId=500020059609&crseTracseSe=C0061,,, - , - , - , -   , - , - , - , - 
