고유값,과정명,훈련과정 ID,회차,훈련기관,총 훈련일수,총 훈련시간,과정시작일,과정종료일,NCS명,NCS코드,훈련비,정원,수강신청 인원,수료인원,수료율,만족도,지역,주소,과정페이지 링크,선도기업,파트너기관,매출 최소,실 매출 대비,매출 최대,2021년,2022년,2023년,2024년,2025년,2026년
AIG2021000032903060,[KT] AIVLE School,AIG20210000329030,60,대한상공회의소,115,840,2024-02-20,2024-08-07,응용SW엔지니어링,20010202," 1,524,600 ",30,29,26,90%,87.6,서울 중구,서울특별시 중구 세종대로 39,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20210000329030&tracseTme=60&trainstCstmrId=500037517077&crseTracseSe=C0061,KT,KT,"39,639,600","35,370,720","44,213,400",0,0,0,"35,370,720",0,0
AIG2021000032903062,[KT] AIVLE School,AIG20210000329030,62,대한상공회의소,115,840,2024-02-20,2024-08-07,응용SW엔지니어링,20010202," 1,524,600 ",29,28,26,93%,87.6,서울 중구,서울특별시 중구 세종대로 39,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20210000329030&tracseTme=62&trainstCstmrId=500037517077&crseTracseSe=C0061,KT,KT,"39,639,600","34,151,040","42,688,800",0,0,0,"34,151,040",0,0
AIG2021000032903066,[KT] AIVLE School,AIG20210000329030,66,대한상공회의소,115,840,2024-02-20,2024-08-07,응용SW엔지니어링,20010202," 1,524,600 ",30,29,26,90%,87.6,서울 중구,서울특별시 중구 세종대로 39,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20210000329030&tracseTme=66&trainstCstmrId=500037517077&crseTracseSe=C0061,KT,KT,"39,639,600","35,370,720","44,213,400",0,0,0,"35,370,720",0,0
AIG2021000032903071,[KT] AIVLE School,AIG20210000329030,71,대한상공회의소,115,840,2024-02-20,2024-08-07,응용SW엔지니어링,20010202," 1,524,600 ",29,28,22,79%,87.6,서울 중구,서울특별시 중구 세종대로 39,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20210000329030&tracseTme=71&trainstCstmrId=500037517077&crseTracseSe=C0061,KT,KT,"33,541,200","34,151,040","42,688,800",0,0,0,"34,151,040",0,0
AIG202300004556191,의료 Medical AI 분석 서비스 개발자 과정,AIG20230000455619,1,한국직업전문학교,122,976,2024-02-21,2024-08-16,인공지능서비스구현,20010705," 9,249,550 ",25,22,18,82%,64.8,서울 구로구,서울특별시 구로구 디지털로34길 27 (구로동 대륭포스트타워3차),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20230000455619&tracseTme=1&trainstCstmrId=500020026790&crseTracseSe=C0061,,,"166,491,900","162,792,080","203,490,100",0,0,0,"162,792,080",0,0
AIG202200004094222,빅데이터기반 웹 검색 엔진 개발자,AIG20220000409422,2,KH정보교육원 부산지원,120,960,2024-02-21,2024-08-13,응용SW엔지니어링,20010202," 8,221,440 ",25,8,4,50%,91.8,부산 부산진구,"부산광역시 부산진구 중앙대로 627(범천동, 삼비빌딩)",https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20220000409422&tracseTme=2&trainstCstmrId=500035498556&crseTracseSe=C0061,,,"32,885,760","52,617,216","65,771,520",0,0,0,"52,617,216",0,0
AIG202200003666826,멀티 플랫폼 메타버스 게임 기획자 부트캠프,AIG20220000366682,6,주식회사경일게임아이티아카데미,171,1368,2024-02-21,2024-11-07,가상현실콘텐츠제작,20020401," 10,826,350 ",30,30,30,100%,91.6,서울 강동구,서울특별시 강동구 천호동 올림픽로 651(예경빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20220000366682&tracseTme=6&trainstCstmrId=500020031484&crseTracseSe=C0061,,,"324,790,500","259,832,400","324,790,500",0,0,0,"259,832,400",0,0
AIG2022000041237016,[Harman] 세미콘(semiconductor) 아카데미-반도체 설계,AIG20220000412370,16,대한상공회의소,129,900,2024-02-21,2024-09-10,반도체개발,19030601," 16,335,000 ",25,25,25,100%,88.4,서울 중구,서울특별시 중구 세종대로 39,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20220000412370&tracseTme=16&trainstCstmrId=500037517077&crseTracseSe=C0061,Harman,Harman,"408,375,000","326,700,000","408,375,000",0,0,0,"326,700,000",0,0
AIG202300004126142,XR 기반의 메타버스 콘텐츠 기획개발,AIG20230000412614,2,대한상공회의소부산인력개발원,115,910,2024-02-21,2024-08-09,가상현실콘텐츠제작,20020401," 16,516,500 ",25,17,12,71%,75,부산 남구,부산광역시 남구 신선로 454-20 (용당동 대한상공회의소),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20230000412614&tracseTme=2&trainstCstmrId=500020018517&crseTracseSe=C0061,,,"198,198,000","224,624,400","280,780,500",0,0,0,"224,624,400",0,0
AIG2022000041237015,[Harman] 세미콘(semiconductor) 아카데미-반도체 설계,AIG20220000412370,15,대한상공회의소,117,900,2024-02-21,2024-08-14,반도체개발,19030601," 16,335,000 ",25,21,16,76%,88.4,서울 중구,서울특별시 중구 세종대로 39,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20220000412370&tracseTme=15&trainstCstmrId=500037517077&crseTracseSe=C0061,Harman,Harman,"261,360,000","274,428,000","343,035,000",0,0,0,"274,428,000",0,0
