훈련과정ID,회차,훈련기관ID
AIG20230000412895,10,500037517077.0
AIG20230000455666,2,500034264417.0
AIG20240000459022,4,500020039927.0
AIG20240000459068,1,500020011379.0
AIG20220000409222,8,500020023588.0
AIG20200000286660,24,500020018488.0
AIG20240000459046,1,500020039927.0
AIG20220000366787,13,500020026366.0
AIG20220000366913,9,500020027870.0
AIG20230000412863,4,500020028061.0
AIG20230000455751,2,500041819717.0
AIG20230000412712,6,500020033277.0
AIG20220000366893,13,500020028562.0
AIG20220000366797,9,500020046871.0
AIG20220000366677,3,500020013990.0
AIG20210000365837,10,500040793315.0
AIG20240000459185,1,500020045827.0
AIG20230000412600,3,500020045461.0
AIG20240000459227,1,500020024317.0
AIG20230000455784,16,500037517077.0
AIG20230000455784,19,500037517077.0
AIG20230000455784,21,500037517077.0
AIG20240000459434,2,500037517077.0
AIG20240000459009,1,500020019318.0
AIG20220000366692,6,500020025371.0
AIG20210000329032,60,500037517077.0
AIG20210000329032,61,500037517077.0
AIG20210000329032,65,500037517077.0
AIG20210000329032,66,500037517077.0
AIG20210000329032,67,500037517077.0
AIG20210000329032,68,500037517077.0
AIG20210000329032,69,500037517077.0
AIG20210000329032,70,500037517077.0
AIG20210000329032,71,500037517077.0
AIG20210000329032,73,500037517077.0
AIG20210000329032,75,500037517077.0
AIG20210000329032,77,500037517077.0
AIG20220000412364,9,500037517077.0
AIG20240000459038,2,500020053631.0
AIG20220000366834,2,500020013014.0
AIG20230000412766,9,500039727504.0
AIG20230000412770,8,500039727504.0
AIG20230000412795,7,500037189659.0
AIG20240000459368,1,500033945638.0
AIG20240000459370,1,500033945638.0
AIG20210000328686,11,500020026366.0
AIG20240000459021,1,500020039555.0
AIG20240000459408,1,500039286716.0
AIG20240000459412,1,500039286716.0
AIG20220000409326,27,500020039927.0
AIG20220000366743,10,500020039927.0
AIG20230000412817,3,500042545471.0
AIG20230000455766,6,500037517077.0
AIG20240000459082,1,500038398274.0
AIG20220000366913,10,500020027870.0
AIG20230000455585,3,500020046288.0
AIG20230000412755,7,500035544333.0
AIG20230000412842,3,500020053280.0
AIG20210000328555,7,500020062854.0
AIG20240000459085,2,500038398274.0
AIG20230000412698,5,500020060019.0
AIG20240000459317,1,500039727504.0
AIG20230000412765,6,500020028748.0
AIG20230000412770,10,500039727504.0
AIG20230000455591,3,500020034842.0
AIG20230000455617,1,500037147984.0
AIG20210000328860,26,500020039927.0
AIG20210000328555,8,500020062854.0
AIG20230000412816,7,500020051919.0
AIG20240000459237,1,500041115422.0
AIG20240000459400,2,500020045700.0
AIG20220000366893,14,500020028562.0
AIG20240000459422,10,500037517077.0
AIG20240000459320,1,500020026794.0
AIG20230000412649,3,500037119543.0
AIG20230000455610,2,500020051384.0
AIG20240000459408,2,500039286716.0
AIG20240000459412,2,500039286716.0
AIG20240000459232,1,500042636540.0
AIG20240000459046,3,500020039927.0
AIG20240000459046,4,500020039927.0
AIG20230000412689,2,500020055939.0
AIG20220000409285,8,500037119543.0
AIG20230000412856,4,500020051277.0
AIG20240000459397,2,500039029321.0
AIG20240000459041,2,500038398274.0
AIG20240000459287,1,500033330182.0
AIG20230000412649,4,500037119543.0
AIG20230000412780,2,500037147984.0
AIG20220000409285,9,500037119543.0
AIG20240000459290,1,500037517077.0
AIG20230000455581,4,500020049962.0
AIG20230000412649,5,500037119543.0
AIG20230000412897,15,500041675250.0
AIG20230000455578,3,500020033591.0
AIG20240000459173,1,500020039927.0
AIG20240000459347,1,500020024148.0
