훈련과정ID,회차,훈련기관ID
AIG20240000501193,6,500037517077.0
AIG20240000501193,7,500037517077.0
AIG20230000412699,7,500037933544.0
AIG20240000459220,1,500020053476.0
AIG20240000498178,3,500020056274.0
AIG20240000501182,2,500020025371.0
AIG20240000501195,3,500037517077.0
AIG20240000501195,4,500037517077.0
AIG20240000459325,7,500044009481.0
AIG20250000501497,1,500020041918.0
AIG20250000501443,1,500020060638.0
AIG20240000498366,5,500033945638.0
AIG20240000459368,5,500033945638.0
AIG20240000498261,3,500039286716.0
AIG20240000459097,10,500035988371.0
AIG20250000501613,1,500020039927.0
AIG20230000412718,16,500033945638.0
AIG20230000455753,12,500033945638.0
AIG20240000498126,5,500020055899.0
AIG20240000498148,2,500020041475.0
AIG20240000459142,6,500020055650.0
AIG20240000459113,3,500020028586.0
AIG20230000412740,9,500020026271.0
AIG20240000498100,5,500020053631.0
AIG20250000501393,2,500037143258.0
AIG20250000501545,2,500037143258.0
AIG20240000498342,4,500033945638.0
AIG20250000501578,1,500020058622.0
AIG20240000458999,4,500020049185.0
AIG20250000501475,1,500034264417.0
AIG20230000455741,6,500020055650.0
AIG20240000459402,6,500034282912.0
AIG20230000412842,5,500020053280.0
AIG20230000412688,8,500020016923.0
AIG20240000459315,7,500039727504.0
AIG20240000459322,7,500039727504.0
AIG20240000459356,7,500039727504.0
AIG20240000459358,7,500039727504.0
AIG20230000455694,6,500020031190.0
AIG20230000455635,22,500020011379.0
AIG20240000498260,14,500033330182.0
AIG20240000459068,22,500020011379.0
AIG20240000498172,5,500020050017.0
AIG20230000412580,8,500037517077.0
AIG20230000412591,8,500037517077.0
AIG20230000412591,9,500037517077.0
AIG20240000498262,3,500036114086.0
AIG20250000501370,1,500020027783.0
AIG20230000412832,15,500037189659.0
AIG20230000412766,19,500039727504.0
AIG20230000412770,16,500039727504.0
AIG20240000498130,7,500042496680.0
AIG20240000459302,12,500042496680.0
AIG20240000459390,10,500036172479.0
AIG20250000501445,1,500020027653.0
AIG20240000459381,3,500020028057.0
AIG20230000455612,6,500037143258.0
AIG20230000455675,5,500042687340.0
AIG20250000501503,2,500039286716.0
AIG20250000501512,2,500039286716.0
AIG20240000498108,7,500020044103.0
AIG20250000501572,3,500037517077.0
AIG20230000412839,8,500020055650.0
AIG20240000459389,13,500020044796.0
AIG20230000455687,11,500020055895.0
AIG20250000501445,2,500020027653.0
AIG20230000455573,10,500020048633.0
AIG20230000455554,12,500020053631.0
AIG20240000459406,5,500020028562.0
AIG20240000498287,5,500020056274.0
AIG20230000455692,5,500020042738.0
AIG20240000459211,4,500020048147.0
AIG20240000501236,3,500020024372.0
AIG20240000459423,3,500039286716.0
AIG20240000498366,6,500033945638.0
AIG20240000459227,5,500020024317.0
AIG20240000459209,9,500020024317.0
AIG20240000498128,4,500020013370.0
AIG20230000455611,7,500037143258.0
AIG20230000455739,9,500020055168.0
AIG20250000501456,2,500020027653.0
AIG20250000501520,1,500020031803.0
AIG20230000412839,9,500020055650.0
AIG20250000501663,1,500020059024.0
AIG20250000501545,3,500037143258.0
AIG20230000412662,13,500035988371.0
AIG20240000459065,6,500020061830.0
AIG20240000459268,8,500020026366.0
AIG20240000498303,4,500020025093.0
AIG20240000501233,2,500020053280.0
AIG20250000501522,4,500020053280.0
AIG20240000459210,5,500020024317.0
AIG20230000412662,14,500035988371.0
AIG20230000455715,7,500034282945.0
AIG20240000498071,1,500020041443.0
AIG20240000459288,10,500034282945.0
AIG20230000412667,11,500020022702.0
AIG20240000459097,9,500035988371.0
AIG20250000501719,2,500042311334.0
AIG20230000455718,16,500042311334.0
AIG20230000455720,18,500042311334.0
AIG20240000498141,2,500020028061.0
AIG20240000459291,5,500037517077.0
AIG20250000501714,2,500037517077.0
AIG20250000501472,1,500034233571.0
AIG20240000498142,8,500042496680.0
AIG20240000459352,6,500020031484.0
AIG20240000459329,4,500037933544.0
AIG20240000498314,8,500020039927.0
AIG20250000501515,2,500020039927.0
AIG20230000455635,23,500020011379.0
AIG20230000455736,12,500020031803.0
AIG20240000459278,8,500020044103.0
AIG20240000498302,3,500020024372.0
AIG20240000498213,4,500020014478.0
AIG20250000501460,5,500020059609.0
AIG20230000412718,17,500033945638.0
AIG20230000412868,9,500020011407.0
AIG20240000459097,11,500035988371.0
AIG20230000455595,13,500035988371.0
AIG20230000412895,15,500037517077.0
AIG20240000459333,3,500037933544.0
AIG20240000498076,6,500020021390.0
AIG20250000501724,2,500035498556.0
AIG20240000459191,7,500020062069.0
AIG20240000498123,6,500020051277.0
AIG20230000455631,8,500020059024.0
AIG20230000455715,8,500034282945.0
AIG20230000412697,8,500037933544.0
AIG20250000501657,1,500044997591.0
AIG20240000459288,11,500034282945.0
AIG20230000455719,15,500042311334.0
AIG20230000455593,12,500035988371.0
AIG20230000412755,15,500035544333.0
AIG20240000501227,3,500020024372.0
AIG20240000459317,8,500039727504.0
AIG20240000459357,8,500039727504.0
AIG20240000459283,11,500042496680.0
AIG20240000498115,7,500042496680.0
AIG20240000459009,4,500020019318.0
AIG20240000459408,7,500039286716.0
AIG20240000459412,6,500039286716.0
AIG20240000498366,7,500033945638.0
AIG20230000412656,17,500033945638.0
AIG20230000412747,9,500039286716.0
AIG20240000459091,8,500035988371.0
AIG20240000498156,5,500039286716.0
AIG20230000412718,18,500033945638.0
AIG20240000459278,9,500020044103.0
AIG20250000501509,2,500039286716.0
AIG20240000459068,23,500020011379.0
AIG20230000455753,13,500033945638.0
AIG20240000498084,4,500020044103.0
AIG20240000498099,1,500020016714.0
AIG20240000498183,3,500020011407.0
AIG20240000459307,6,500020011407.0
AIG20240000498089,4,500020025371.0
AIG20240000498342,5,500033945638.0
AIG20240000459415,5,500037517077.0
AIG20230000455664,7,500037933544.0
AIG20240000501198,5,500020055650.0
AIG20230000412586,22,500042496680.0
AIG20240000498095,3,500020026794.0
AIG20230000412804,8,500020051183.0
AIG20240000459311,8,500020026271.0
AIG20230000455653,10,500039286716.0
AIG20240000498072,8,500042311334.0
AIG20250000501694,2,500035988371.0
AIG20240000498159,4,500039286716.0
AIG20250000501364,3,500042311334.0
AIG20250000501427,3,500020061193.0
AIG20240000498066,7,500042496680.0
AIG20240000498158,7,500039286716.0
AIG20240000459059,9,500020028748.0
AIG20240000459039,3,500020014651.0
AIG20250000501473,2,500020041301.0
AIG20240000498211,3,500020053280.0
AIG20230000412750,16,500020037783.0
AIG20230000455602,19,500034233571.0
AIG20240000459157,7,500033330182.0
AIG20240000459389,14,500020044796.0
AIG20250000501362,1,500020061830.0
AIG20230000412857,14,500020051277.0
AIG20240000459301,8,500034282945.0
AIG20240000498260,17,500033330182.0
AIG20230000412740,10,500020026271.0
AIG20250000501341,2,500020049962.0
AIG20250000501373,2,500020047095.0
AIG20230000412569,5,500020029336.0
AIG20240000501222,2,500020025371.0
AIG20250000501454,1,500041703166.0
AIG20240000459365,2,500020060063.0
AIG20250000501743,1,500037517077.0
AIG20240000498366,8,500033945638.0
AIG20250000501722,1,500020060638.0
AIG20240000459319,3,500020062236.0
AIG20240000498108,8,500020044103.0
AIG20240000459422,38,500037517077.0
AIG20240000459422,39,500037517077.0
AIG20240000459422,40,500037517077.0
AIG20240000459422,41,500037517077.0
AIG20240000459422,42,500037517077.0
AIG20240000459422,43,500037517077.0
AIG20240000498079,4,500020028586.0
AIG20230000455587,4,500020031484.0
AIG20230000455590,4,500020031484.0
AIG20250000501522,5,500020053280.0
AIG20240000459258,5,500020034842.0
AIG20240000459091,7,500035988371.0
AIG20240000459167,5,500020017427.0
AIG20230000455635,24,500020011379.0
AIG20240000498126,6,500020055899.0
AIG20240000498172,6,500020050017.0
AIG20250000501370,2,500020027783.0
AIG20240000459374,8,500020018488.0
AIG20250000501645,2,500020021537.0
AIG20250000501714,3,500037517077.0
AIG20250000501733,3,500042311334.0
AIG20240000498108,9,500020044103.0
AIG20230000455633,6,500020059068.0
AIG20240000498335,4,500020021085.0
AIG20250000541108,1,500020016874.0
AIG20230000455744,9,500020055650.0
AIG20240000498395,4,500020020547.0
AIG20240000498362,4,500020040764.0
AIG20250000501428,2,500020053478.0
AIG20240000501230,3,500020024372.0
AIG20250000501335,2,500020022702.0
AIG20240000459185,5,500020045827.0
AIG20230000412699,8,500037933544.0
AIG20240000459427,4,500037517077.0
AIG20240000459441,4,500037517077.0
AIG20230000412705,9,500020016923.0
AIG20250000501721,1,500020029948.0
AIG20230000455611,8,500037143258.0
AIG20240000459278,10,500020044103.0
AIG20250000501462,1,500020055633.0
AIG20250000501735,1,500020053280.0
AIG20240000498290,2,500020027870.0
AIG20230000412688,9,500020016923.0
AIG20230000455588,8,500020017030.0
AIG20230000412868,10,500020011407.0
AIG20240000459307,8,500020011407.0
AIG20230000455696,5,500034772319.0
AIG20230000412842,6,500020053280.0
AIG20240000501197,5,500020055650.0
AIG20240000501226,2,500020025371.0
AIG20230000455754,7,500020054642.0
AIG20240000459434,17,500037517077.0
AIG20240000459434,18,500037517077.0
AIG20250000501341,3,500020049962.0
AIG20230000455593,13,500035988371.0
AIG20240000459336,3,500037933544.0
AIG20240000501239,3,500037517077.0
AIG20230000455661,3,500020040446.0
AIG20240000459306,8,500020058127.0
AIG20230000455460,12,500020016714.0
AIG20240000498253,6,500020017427.0
AIG20240000459286,4,500039727504.0
AIG20240000459313,4,500039727504.0
AIG20230000412834,6,500020053280.0
AIG20240000459109,3,500020053280.0
AIG20240000459111,3,500020053280.0
AIG20240000459114,3,500020053280.0
AIG20240000459115,3,500020053280.0
AIG20240000498305,1,500020060019.0
AIG20250000501724,3,500035498556.0
AIG20250000501355,2,500020018488.0
AIG20230000455791,11,500020047973.0
AIG20230000412581,11,500020021310.0
AIG20230000412766,20,500039727504.0
AIG20230000412770,17,500039727504.0
AIG20240000459323,5,500037933544.0
AIG20240000459397,9,500039029321.0
AIG20240000498204,5,500039727504.0
AIG20240000501194,3,500037517077.0
AIG20250000543140,1,500020014015.0
AIG20250000501393,4,500037143258.0
AIG20240000459108,9,500039029321.0
AIG20240000459062,4,500020053280.0
AIG20240000459412,7,500039286716.0
AIG20250000501545,4,500037143258.0
AIG20230000412641,13,500020045827.0
AIG20250000501527,2,500020049962.0
AIG20250000543125,1,500020043348.0
AIG20230000455595,14,500035988371.0
AIG20230000455656,11,500039286716.0
AIG20240000498343,3,500037517077.0
AIG20230000455791,12,500020047973.0
AIG20250000501447,2,500020058127.0
AIG20240000498260,18,500033330182.0
AIG20250000501387,1,500020055168.0
AIG20230000455640,17,500020039773.0
AIG20240000459012,4,500020053280.0
AIG20240000459083,7,500038398274.0
AIG20240000498084,5,500020044103.0
AIG20230000412830,9,500020048147.0
AIG20230000455714,9,500020016923.0
AIG20250000501655,4,500020034888.0
AIG20240000498058,9,500020028075.0
AIG20240000459170,2,500037147984.0
AIG20240000459099,4,500020028057.0
AIG20230000412718,19,500033945638.0
AIG20230000412868,11,500020011407.0
AIG20240000459307,9,500020011407.0
AIG20240000459132,6,500034360366.0
AIG20250000543086,1,500020061650.0
AIG20250000501486,2,500020049962.0
AIG20230000455708,4,500020021310.0
AIG20230000455593,14,500035988371.0
AIG20240000459209,10,500020024317.0
AIG20230000455791,13,500020047973.0
AIG20240000498267,7,500020017427.0
AIG20230000412694,6,500037933544.0
AIG20230000412697,9,500037933544.0
AIG20250000501775,1,500034633968.0
AIG20240000459140,4,500020055650.0
AIG20230000455732,5,500020053280.0
AIG20240000501224,3,500020025371.0
AIG20250000501762,1,500034633968.0
AIG20230000412581,10,500020021310.0
AIG20240000498178,4,500020056274.0
AIG20250000501355,3,500020018488.0
AIG20230000412815,17,500037517077.0
AIG20230000412826,13,500020053280.0
AIG20240000501250,2,500020053280.0
AIG20240000501238,6,500033544209.0
AIG20250000501484,2,500020051182.0
AIG20250000501678,2,500045581284.0
AIG20240000459042,6,500034091717.0
AIG20230000455791,14,500020047973.0
AIG20250000501719,3,500042311334.0
AIG20230000412718,20,500033945638.0
AIG20230000455791,15,500020047973.0
AIG20230000412794,15,500020060638.0
AIG20240000459381,4,500020028057.0
AIG20240000459227,6,500020024317.0
AIG20240000459157,9,500033330182.0
AIG20250000543108,1,500034780449.0
AIG20250000543095,1,500046549096.0
AIG20240000459108,10,500039029321.0
AIG20250000501640,4,500033945638.0
AIG20240000501219,5,500020055650.0
AIG20230000412803,6,500037517077.0
AIG20230000412641,14,500020045827.0
AIG20230000412656,18,500033945638.0
AIG20230000455548,10,500020028562.0
AIG20230000455548,9,500020028562.0
AIG20240000498342,6,500033945638.0
AIG20240000501213,3,500037517077.0
AIG20250000501341,4,500020049962.0
AIG20240000459368,6,500033945638.0
AIG20240000498366,9,500033945638.0
AIG20230000455653,11,500039286716.0
AIG20230000412742,9,500039286716.0
AIG20230000455595,15,500035988371.0
AIG20250000501503,3,500039286716.0
AIG20250000501512,3,500039286716.0
AIG20240000498314,9,500020039927.0
AIG20250000501613,2,500020039927.0
AIG20250000501515,3,500020039927.0
AIG20230000455791,16,500020047973.0
AIG20230000412718,21,500033945638.0
AIG20240000498108,10,500020044103.0
AIG20250000501559,2,500020024420.0
AIG20240000459090,5,500020055245.0
AIG20240000459204,7,500020039927.0
AIG20250000501509,3,500039286716.0
AIG20230000455749,6,500036151912.0
AIG20240000459168,6,500020053280.0
AIG20240000459426,6,500037517077.0
AIG20240000498184,5,500037343589.0
AIG20240000498184,6,500037343589.0
AIG20240000498209,4,500036090856.0
AIG20240000498265,5,500037143258.0
AIG20240000501209,3,500037517077.0
AIG20250000501757,1,500037517077.0
AIG20230000455718,17,500042311334.0
AIG20230000455720,19,500042311334.0
AIG20230000455749,8,500036151912.0
AIG20230000455753,14,500033945638.0
AIG20240000459187,8,500037143258.0
AIG20240000498172,7,500020050017.0
AIG20240000498282,3,500020034039.0
AIG20240000501214,3,500037517077.0
AIG20250000501447,3,500020058127.0
AIG20250000501638,1,500037143258.0
AIG20240000498302,4,500020024372.0
AIG20240000459168,5,500020053280.0
AIG20240000459360,9,500020061827.0
AIG20230000455728,5,500020055650.0
AIG20250000501445,3,500020027653.0
AIG20240000501204,3,500020055650.0
AIG20240000459287,4,500033330182.0
AIG20240000498340,3,500020014653.0
AIG20240000498368,3,500041642929.0
AIG20230000455749,7,500036151912.0
AIG20250000501443,2,500020060638.0
AIG20240000459262,3,500020014478.0
AIG20240000459325,9,500044009481.0
AIG20240000459328,8,500044009481.0
AIG20240000459325,8,500044009481.0
AIG20240000498069,4,500036075789.0
AIG20250000501415,1,500020013381.0
AIG20230000455604,6,500020028586.0
AIG20240000459298,4,500020028586.0
AIG20240000459315,9,500039727504.0
AIG20240000459317,9,500039727504.0
AIG20240000459322,9,500039727504.0
AIG20240000459356,9,500039727504.0
AIG20240000459357,9,500039727504.0
AIG20240000459358,9,500039727504.0
AIG20240000498073,3,500020027870.0
AIG20230000412740,11,500020026271.0
AIG20230000455754,11,500020054642.0
AIG20240000459293,6,500037517077.0
AIG20230000455622,4,500020038752.0
AIG20250000501460,7,500020059609.0
AIG20230000412667,12,500020022702.0
AIG20240000459119,3,500020044993.0
AIG20240000459214,5,500020019775.0
AIG20240000498278,7,500020036576.0
AIG20250000501622,1,500020027870.0
AIG20250000501522,6,500020053280.0
AIG20230000455604,7,500020028586.0
AIG20240000459042,8,500034091717.0
AIG20250000543077,1,500020046950.0
AIG20250000543107,1,500046549096.0
AIG20240000498106,8,500020061830.0
AIG20230000455746,10,500036172479.0
AIG20250000501596,1,500033915491.0
AIG20230000455708,3,500020021310.0
AIG20230000455719,16,500042311334.0
AIG20230000455675,6,500042687340.0
AIG20240000498072,9,500042311334.0
AIG20240000459195,4,500020024317.0
AIG20230000455779,5,500020053280.0
AIG20230000455791,17,500020047973.0
AIG20240000498095,4,500020026794.0
AIG20240000498108,11,500020044103.0
AIG20240000498402,5,500039652243.0
AIG20230000455748,10,500036172479.0
AIG20240000459133,4,500036114086.0
AIG20240000459234,4,500020050681.0
AIG20250000501734,1,500020034234.0
AIG20230000412881,6,500037517077.0
AIG20230000412883,6,500037517077.0
AIG20230000412885,6,500037517077.0
AIG20230000412586,23,500042496680.0
AIG20240000459065,9,500020061830.0
AIG20240000459068,25,500020011379.0
AIG20240000459138,13,500020055650.0
AIG20240000459138,14,500020055650.0
AIG20240000459138,15,500020055650.0
AIG20240000459138,16,500020055650.0
AIG20230000455615,12,500020054900.0
AIG20230000412847,7,500038398274.0
AIG20230000455784,31,500037517077.0
AIG20240000459068,24,500020011379.0
AIG20240000459268,9,500020026366.0
AIG20240000459259,7,500037933544.0
AIG20250000501645,3,500020021537.0
AIG20230000412712,16,500020033277.0
AIG20240000498288,5,500036172479.0
AIG20230000455635,25,500020011379.0
AIG20240000459168,7,500020053280.0
AIG20240000459333,4,500037933544.0
AIG20250000501364,4,500042311334.0
AIG20230000412832,17,500037189659.0
AIG20240000498395,5,500020020547.0
AIG20250000501481,4,500020027870.0
AIG20230000455602,20,500034233571.0
AIG20250000501355,4,500020018488.0
AIG20250000501427,4,500020061193.0
AIG20250000501529,3,500020026794.0
AIG20250000501392,2,500036075789.0
AIG20250000501476,1,500042496680.0
AIG20230000455573,11,500020048633.0
AIG20240000459084,3,500038398274.0
AIG20240000498198,3,500020048147.0
AIG20230000455754,40,500020054642.0
AIG20240000459302,13,500042496680.0
AIG20240000498142,10,500042496680.0
AIG20240000498142,9,500042496680.0
AIG20250000501781,3,500020038752.0
AIG20240000498115,8,500042496680.0
AIG20240000498115,9,500042496680.0
AIG20240000459389,15,500020044796.0
AIG20250000501529,2,500020026794.0
AIG20240000498331,3,500020031484.0
AIG20240000498183,4,500020011407.0
AIG20240000459042,9,500034091717.0
AIG20250000501370,3,500020027783.0
AIG20250000543151,1,500020025307.0
AIG20250000543143,1,500037343589.0
AIG20240000498248,6,500034264417.0
AIG20240000459311,9,500020026271.0
AIG20240000498248,7,500034264417.0
AIG20250000501479,1,500020055633.0
AIG20240000459166,8,500020017427.0
AIG20230000412755,16,500035544333.0
AIG20240000459044,2,500020040091.0
AIG20230000455630,8,500020059024.0
AIG20240000459278,12,500020044103.0
AIG20230000412866,13,500020055899.0
AIG20230000455597,3,500020055899.0
AIG20230000455734,8,500020044601.0
AIG20240000459153,9,500020035581.0
AIG20240000459301,12,500034282945.0
AIG20240000498122,1,500020026790.0
AIG20230000455731,9,500020031803.0
AIG20250000501754,2,500020038642.0
AIG20230000455687,12,500020055895.0
AIG20250000543149,1,500035666668.0
AIG20230000455623,5,500020035867.0
AIG20250000501516,1,500034264417.0
AIG20230000455673,3,500020041918.0
AIG20240000498276,3,500020033591.0
AIG20250000501456,3,500020027653.0
AIG20240000501236,4,500020024372.0
AIG20250000501520,2,500020031803.0
AIG20240000498245,3,500020045033.0
AIG20240000498374,5,500037933544.0
AIG20250000501657,2,500044997591.0
AIG20250000501533,1,500020048147.0
AIG20250000501576,1,500020049185.0
AIG20230000412581,9,500020021310.0
AIG20240000459374,9,500020018488.0
AIG20230000412871,6,500042181034.0
AIG20230000455658,3,500020041301.0
AIG20230000455754,41,500020054642.0
AIG20230000412736,7,500020016714.0
AIG20250000501703,1,500020048633.0
AIG20240000501186,3,500037517077.0
AIG20240000459132,7,500034360366.0
AIG20240000501200,10,500037517077.0
AIG20240000501200,8,500037517077.0
AIG20240000501200,9,500037517077.0
AIG20250000501572,4,500037517077.0
AIG20240000459107,3,500041113426.0
AIG20240000459107,4,500041113426.0
AIG20250000501352,6,500034772319.0
AIG20240000498088,9,500020049185.0
AIG20240000459077,5,500036090856.0
AIG20240000459311,10,500020026271.0
AIG20240000459142,7,500020055650.0
AIG20240000459403,2,500020016713.0
AIG20240000501225,2,500020053280.0
AIG20240000459234,5,500020050681.0
AIG20240000498350,4,500041113426.0
AIG20240000459403,3,500020016713.0
AIG20240000498380,2,500020018517.0
AIG20250000501436,2,500020051277.0
AIG20240000459068,26,500020011379.0
AIG20240000498223,17,500034282945.0
AIG20240000459351,5,500037933544.0
AIG20240000459310,9,500039538111.0
AIG20240000459242,4,500020038200.0
AIG20240000501254,3,500039538111.0
AIG20250000501639,4,500033945638.0
AIG20240000459368,7,500033945638.0
AIG20240000498101,4,500038398274.0
AIG20250000501352,5,500034772319.0
AIG20250000501447,5,500020058127.0
AIG20240000459189,7,500020045827.0
AIG20240000498342,7,500033945638.0
AIG20240000459091,9,500035988371.0
AIG20240000459390,11,500036172479.0
AIG20240000459267,8,500020026366.0
AIG20240000459019,7,500020055650.0
AIG20240000459019,8,500020055650.0
AIG20240000498123,7,500020051277.0
AIG20240000459125,6,500020053280.0
AIG20240000459157,8,500033330182.0
AIG20240000498182,5,500020037783.0
AIG20250000501733,4,500042311334.0
AIG20240000459210,6,500020024317.0
AIG20240000459302,14,500042496680.0
AIG20240000459095,5,500020056274.0
AIG20240000498353,6,500020061827.0
AIG20250000543139,1,500033349457.0
AIG20240000459408,8,500039286716.0
AIG20250000543150,1,500020043348.0
AIG20250000501655,5,500020034888.0
AIG20240000498160,5,500020059024.0
AIG20240000498389,5,500037143258.0
AIG20240000458999,5,500020049185.0
AIG20240000501257,6,500037517077.0
AIG20240000459068,27,500020011379.0
AIG20240000459409,4,500020026271.0
AIG20250000501400,3,500020050800.0
AIG20250000501364,5,500042311334.0
AIG20240000459143,8,500020055650.0
AIG20250000501724,4,500035498556.0
AIG20240000459283,12,500042496680.0
AIG20240000498066,8,500042496680.0
AIG20240000498115,10,500042496680.0
AIG20240000498142,11,500042496680.0
AIG20240000459434,19,500037517077.0
AIG20240000459434,20,500037517077.0
AIG20240000459104,6,500039286716.0
AIG20240000459185,6,500020045827.0
AIG20250000501379,2,500020050800.0
AIG20240000459236,4,500020050660.0
AIG20240000498108,12,500020044103.0
AIG20240000459301,14,500034282945.0
AIG20240000498084,6,500020044103.0
AIG20240000459366,7,500039029321.0
AIG20240000459422,44,500037517077.0
AIG20240000459422,45,500037517077.0
AIG20240000459422,46,500037517077.0
AIG20240000459422,47,500037517077.0
AIG20240000459422,48,500037517077.0
AIG20240000459422,49,500037517077.0
AIG20250000543105,2,500046695648.0
AIG20240000459167,6,500020017427.0
AIG20250000501374,2,500020055895.0
AIG20240000498209,5,500036090856.0
AIG20250000543105,3,500046695648.0
AIG20250000501355,5,500020018488.0
AIG20240000498223,18,500034282945.0
AIG20250000501719,4,500042311334.0
AIG20240000458996,3,500020048219.0
AIG20240000458997,3,500020048219.0
AIG20240000459335,13,500042496680.0
AIG20250000501694,3,500035988371.0
AIG20240000498128,5,500020013370.0
AIG20240000459059,10,500020028748.0
AIG20240000498248,9,500034264417.0
AIG20240000501191,10,500037517077.0
AIG20240000501191,11,500037517077.0
AIG20240000501191,12,500037517077.0
AIG20250000501663,2,500020059024.0
AIG20240000459368,8,500033945638.0
AIG20250000501512,4,500039286716.0
AIG20250000543071,2,500035741539.0
AIG20240000501251,3,500037517077.0
AIG20240000501252,3,500037517077.0
AIG20240000498267,8,500020017427.0
AIG20240000459301,15,500034282945.0
AIG20240000498303,5,500020025093.0
AIG20250000543105,4,500046695648.0
AIG20250000501602,3,500041113426.0
AIG20250000501602,4,500041113426.0
AIG20250000501387,2,500020055168.0
AIG20240000498374,6,500037933544.0
AIG20240000498141,3,500020028061.0
AIG20240000498342,8,500033945638.0
AIG20250000501686,2,500035988371.0
AIG20240000459209,11,500020024317.0
AIG20240000498253,7,500020017427.0
AIG20240000498260,19,500033330182.0
AIG20240000498172,8,500020050017.0
AIG20240000459286,5,500039727504.0
AIG20240000459313,5,500039727504.0
AIG20240000501238,7,500033544209.0
AIG20240000459292,11,500020058127.0
AIG20240000459311,11,500020026271.0
AIG20240000501198,6,500020055650.0
AIG20250000543105,5,500046695648.0
AIG20250000501586,2,500037517077.0
AIG20240000459118,4,500020053280.0
AIG20250000501715,2,500020017030.0
AIG20240000498072,10,500042311334.0
AIG20240000459179,4,500042311334.0
AIG20240000459068,28,500020011379.0
AIG20240000459133,5,500036114086.0
AIG20240000501236,5,500020024372.0
AIG20240000459410,2,500020016713.0
AIG20240000459279,6,500037517077.0
AIG20250000501473,3,500020041301.0
AIG20240000501258,11,500037517077.0
AIG20240000501258,12,500037517077.0
AIG20240000501258,13,500037517077.0
AIG20240000498184,7,500037343589.0
AIG20240000501230,4,500020024372.0
AIG20240000498288,6,500036172479.0
AIG20250000501779,5,500036172479.0
AIG20250000501694,4,500035988371.0
AIG20240000459022,21,500020039927.0
AIG20240000459022,22,500020039927.0
AIG20240000459022,23,500020039927.0
AIG20240000459022,24,500020039927.0
AIG20240000459022,25,500020039927.0
AIG20240000459022,26,500020039927.0
AIG20240000459022,27,500020039927.0
AIG20240000459022,28,500020039927.0
AIG20240000459022,29,500020039927.0
AIG20240000459022,30,500020039927.0
AIG20240000459267,9,500020026366.0
AIG20240000459268,10,500020026366.0
AIG20250000501572,5,500037517077.0
AIG20240000498123,8,500020051277.0
AIG20250000501373,3,500020047095.0
AIG20240000459412,8,500039286716.0
AIG20240000498261,4,500039286716.0
AIG20250000501503,4,500039286716.0
AIG20240000498156,6,500039286716.0
AIG20240000498159,5,500039286716.0
AIG20250000501515,4,500020039927.0
AIG20240000498108,13,500020044103.0
AIG20250000501725,2,500037517077.0
AIG20250000501725,3,500037517077.0
AIG20250000501746,2,500037517077.0
AIG20250000501559,3,500020024420.0
AIG20250000501509,4,500039286716.0
AIG20250000501445,4,500020027653.0
AIG20240000498389,6,500037143258.0
AIG20240000498384,4,500037933544.0
AIG20250000501686,3,500035988371.0
AIG20250000501733,5,500042311334.0
AIG20240000459209,12,500020024317.0
AIG20240000498260,20,500033330182.0
AIG20240000459066,13,500020056026.0
AIG20240000459086,9,500020055895.0
AIG20240000459108,11,500039029321.0
AIG20240000459408,9,500039286716.0
AIG20250000501715,3,500020017030.0
AIG20240000498289,4,500039286716.0
AIG20250000501393,5,500037143258.0
AIG20240000459303,4,500037933544.0
AIG20250000501436,3,500020051277.0
AIG20240000459189,8,500020045827.0
AIG20240000498225,11,500034772319.0
AIG20240000498248,10,500034264417.0
AIG20240000498244,6,500044667102.0
AIG20240000498101,5,500038398274.0
AIG20250000543125,2,500020043348.0
AIG20240000459254,7,500020024317.0
AIG20240000459254,8,500020024317.0
AIG20250000501545,5,500037143258.0
AIG20240000459091,10,500035988371.0
AIG20240000459209,13,500020024317.0
AIG20240000459368,9,500033945638.0
AIG20250000501694,5,500035988371.0
AIG20240000498090,6,500020036576.0
AIG20250000501341,5,500020049962.0
AIG20240000498342,9,500033945638.0
AIG20250000501479,2,500020055633.0
AIG20250000543075,2,500020022031.0
AIG20240000459229,5,500020045827.0
AIG20240000459104,7,500039286716.0
AIG20240000498314,11,500020039927.0
AIG20240000459097,13,500035988371.0
AIG20250000501341,6,500020049962.0
AIG20240000459183,5,500020045827.0
AIG20240000459434,21,500037517077.0
AIG20240000459415,6,500037517077.0
AIG20240000498072,11,500042311334.0
AIG20250000501639,6,500033945638.0
AIG20240000459412,9,500039286716.0
AIG20250000501545,6,500037143258.0
AIG20240000459108,12,500039029321.0
AIG20240000459335,14,500042496680.0
AIG20250000501733,6,500042311334.0
AIG20250000501640,6,500033945638.0
AIG20240000498342,10,500033945638.0
AIG20240000459368,10,500033945638.0
AIG20240000498384,5,500037933544.0
AIG20250000501374,3,500020055895.0
AIG20250000543145,2,500020014015.0
AIG20240000459189,9,500020045827.0
AIG20250000501486,3,500020049962.0
AIG20240000501213,4,500037517077.0
AIG20240000498248,11,500034264417.0
AIG20240000459311,12,500020026271.0
AIG20240000501191,13,500037517077.0
AIG20240000501191,14,500037517077.0
AIG20240000501191,15,500037517077.0
AIG20240000459408,10,500039286716.0
AIG20240000459066,14,500020056026.0
AIG20240000459009,5,500020019318.0
AIG20240000459086,10,500020055895.0
AIG20250000501640,7,500033945638.0
AIG20240000498248,12,500034264417.0
AIG20240000498389,7,500037143258.0
