훈련과정ID,회차,3개월 취업인원,3개월 취업률,6개월 취업인원,6개월 취업률,수료인원
AIG20240000459368,4,,B,,B,20
AIG20240000459370,4,,B,,B,17
AIG20240000459191,5,0,0.0,6,50.0,14
AIG20240000459408,5,,B,,B,62
AIG20240000498261,2,,B,,B,62
AIG20230000455637,2,0,0.0,2,40.0,19
AIG20230000455696,4,,C,,C,0
AIG20240000498278,5,1,5.9,,B,18
AIG20240000459360,7,0,0.0,3,42.9,8
AIG20240000459143,6,4,17.4,,B,23
AIG20230000412712,13,,C,,C,0
AIG20240000459393,2,2,22.2,,B,11
AIG20240000459009,3,,B,,B,29
AIG20240000501192,10,0,0.0,8,57.1,27
AIG20240000501192,3,0,0.0,5,45.5,27
AIG20240000501192,4,0,0.0,8,66.7,28
AIG20240000501192,5,0,0.0,7,63.6,29
AIG20240000501192,7,0,0.0,9,81.8,29
AIG20240000501192,8,0,0.0,8,66.7,29
AIG20240000501192,9,0,0.0,5,62.5,28
AIG20240000459290,5,,D,,D,30
AIG20240000459397,6,0,0.0,1,14.3,17
AIG20240000459263,1,,B,,B,5
AIG20240000459241,3,,C,,C,0
AIG20250000540031,1,,D,,D,30
AIG20240000498339,2,,B,,B,0
AIG20230000412678,7,,C,,C,0
AIG20240000459317,5,0,0.0,0,0.0,4
AIG20240000459290,6,,D,,D,30
AIG20240000459412,4,,B,,B,35
AIG20240000498289,3,,B,,B,33
AIG20240000459049,2,0,0.0,1,8.3,13
AIG20240000498350,3,0,0.0,2,11.1,20
AIG20240000498081,4,0,0.0,0,0.0,3
AIG20240000459352,4,5,23.8,,B,23
AIG20240000498260,7,5,31.3,,B,20
AIG20240000459290,7,,B,,B,29
AIG20240000501189,21,,B,,B,20
AIG20240000501189,22,,B,,B,14
AIG20240000501189,23,,B,,B,13
AIG20240000501189,24,,B,,B,19
AIG20240000501189,25,,B,,B,12
AIG20240000501189,26,,B,,B,17
AIG20240000501189,27,,B,,B,16
AIG20240000501189,28,,B,,B,18
AIG20240000501189,29,,B,,B,15
AIG20240000501189,30,,B,,B,17
AIG20240000501189,31,,B,,B,21
AIG20240000501189,32,,B,,B,13
AIG20240000501189,33,,B,,B,12
AIG20240000501189,34,,B,,B,16
AIG20240000501189,35,,B,,B,22
AIG20240000501189,36,,B,,B,16
AIG20240000501189,37,,B,,B,11
AIG20240000501189,38,,B,,B,24
AIG20240000501189,39,,B,,B,22
AIG20240000501189,40,,B,,B,18
AIG20240000501189,41,,B,,B,18
AIG20240000498090,4,0,0.0,1,25.0,5
AIG20230000412895,14,0,0.0,3,27.3,13
AIG20240000498260,8,2,25.0,,B,9
AIG20240000459191,6,6,33.3,,B,22
AIG20240000459194,4,0,0.0,2,40.0,6
AIG20240000459290,8,,D,,D,30
AIG20230000455555,6,0,0.0,0,0.0,5
AIG20230000412718,12,2,50.0,,B,9
AIG20240000498185,5,5,33.3,,B,19
AIG20230000455717,5,0,0.0,0,0.0,7
AIG20240000459389,11,3,30.0,,B,10
AIG20230000455783,5,,C,,C,0
AIG20240000459365,1,,C,,C,0
AIG20240000459083,6,0,0.0,2,40.0,6
AIG20240000459298,3,4,33.3,,B,17
AIG20240000498100,4,2,18.2,,B,13
AIG20240000459026,1,0,0.0,,B,1
AIG20240000498158,5,10,16.4,,B,66
AIG20240000498158,6,2,14.3,,B,15
